Dosagem;Repetição;Posição;Peso_corrig;Dose_kg/ha
1000;A;1;42,6027;4.345,00
1000;A;2;29,7000;3.029,07
1000;A;3;34,1260;3.480,47
1000;A;4;33,3031;3.396,54
1000;A;5;12,6329;1.288,41
1000;A;6;7,6477;779,98
1000;A;7;3,6590;373,18
1000;B;1;5,8734;599,02
1000;B;2;11,7295;1.196,28
1000;B;3;16,6658;1.699,72
1000;B;4;12,2254;1.246,85
1000;B;5;8,7179;889,13
1000;B;6;3,9946;407,40
1000;B;7;7,6551;780,73
1000;C;1;17,4317;1.777,84
1000;C;2;24,4382;2.492,42
1000;C;3;16,1252;1.644,59
1000;C;4;5,5809;569,19
1000;C;5;1,4962;152,60
1000;C;6;0,0688;7,02
1000;C;7;0,9330;95,16
1000;D;1;0,6371;64,98
1000;D;2;4,9933;509,26
1000;D;3;23,1614;2.362,20
1000;D;4;23,2699;2.373,27
1000;D;5;7,9164;807,38
1000;D;6;6,6576;679,00
1000;D;7;3,8382;391,45
1000;E;1;4,8598;495,65
1000;E;2;11,5099;1.173,88
1000;E;3;8,4899;865,87
1000;E;4;11,9208;1.215,79
1000;E;5;13,1144;1.337,52
1000;E;6;7,7921;794,71
1000;E;7;3,4424;351,09
1000;F;1;5,8345;595,05
1000;F;2;37,9870;3.874,25
1000;F;3;18,1267;1.848,72
1000;F;4;21,7973;2.223,08
1000;F;5;9,5024;969,14
1000;F;6;3,6233;369,54
1000;F;7;1,2677;129,29
1000;G;1;12,8348;1.309,01
1000;G;2;5,7496;586,39
1000;G;3;14,6245;1.491,53
1000;G;4;12,8170;1.307,19
1000;G;5;6,0307;615,06
1000;G;6;4,0350;411,52
1000;G;7;0,7588;77,39
1000;H;1;14,4184;1.470,52
1000;H;2;18,2519;1.861,49
1000;H;3;7,8298;798,55
1000;H;4;3,3519;341,86
1000;H;5;2,3946;244,22
1000;H;6;2,2408;228,54
1000;H;7;1,8969;193,46
1000;I;1;46,7430;4.767,26
