Dosagem	Repeticao	Posicao	Peso	Dose
1000	A	1	42.6027	4345.00
1000	A	2	29.7	3029.07
1000	A	3	34.126	3480.47
1000	A	4	33.3031	3396.54
1000	A	5	12.6329	1288.41
1000	A	6	7.6477	779.98
1000	A	7	3.659	373.18
1000	B	1	5.8734	599.02
1000	B	2	11.7295	1196.28
1000	B	3	16.6658	1699.72
1000	B	4	12.2254	1246.85
1000	B	5	8.7179	889.13
1000	B	6	3.9946	407.4
1000	B	7	7.6551	780.73
1000	C	1	17.4317	1777.84
1000	C	2	24.4382	2492.42
1000	C	3	16.1252	1644.59
1000	C	4	5.5809	569.19
1000	C	5	1.4962	152.6
1000	C	6	0.0688	7.02
1000	C	7	0.933	95.16
1000	D	1	0.6371	64.98
1000	D	2	4.9933	509.26
1000	D	3	23.1614	2362.20
1000	D	4	23.2699	2373.27
1000	D	5	7.9164	807.38
1000	D	6	6.6576	679
1000	D	7	3.8382	391.45
1000	E	1	4.8598	495.65
1000	E	2	11.5099	1173.88
1000	E	3	8.4899	865.87
1000	E	4	11.9208	1215.79
1000	E	5	13.1144	1337.52
1000	E	6	7.7921	794.71
1000	E	7	3.4424	351.09
1000	F	1	5.8345	595.05
1000	F	2	37.987	3874.25
1000	F	3	18.1267	1848.72
1000	F	4	21.7973	2223.08
1000	F	5	9.5024	969.14
1000	F	6	3.6233	369.54
1000	F	7	1.2677	129.29
1000	G	1	12.8348	1309.01
1000	G	2	5.7496	586.39
1000	G	3	14.6245	1491.53
1000	G	4	12.817	1307.19
1000	G	5	6.0307	615.06
1000	G	6	4.035	411.52
1000	G	7	0.7588	77.39
1000	H	1	14.4184	1470.52
1000	H	2	18.2519	1861.49
1000	H	3	7.8298	798.55
1000	H	4	3.3519	341.86
1000	H	5	2.3946	244.22
1000	H	6	2.2408	228.54
1000	H	7	1.8969	193.46
1000	I	1	46.743	4767.26
1000	I	2	41.9679	4280.25
1000	I	3	11.271	1149.52
1000	I	4	4.4757	456.47
1000	I	5	2.8517	290.84
1000	I	6	0.9249	94.33
1000	I	7	0.3562	36.33
1000	J	1	13.5516	1382.11
1000	J	2	18.2519	1861.49
1000	J	3	7.8298	798.55
1000	J	4	3.3519	341.86
1000	J	5	2.3946	244.22
1000	J	6	2.2408	228.54
1000	J	7	1.8969	193.46
1000	L	1	37.546	3829.27
1000	L	2	27.033	2757.06
1000	L	3	24.3722	2485.69
1000	L	4	17.0483	1738.74
1000	L	5	13.1295	1339.06
1000	L	6	5.3997	550.71
1000	L	7	2.0234	206.36
1000	M	1	17.9136	1826.99
1000	M	2	17.1174	1745.78
1000	M	3	34.1251	3480.38
1000	M	4	25.3228	2582.64
1000	M	5	11.998	1223.66
1000	M	6	5.9876	610.67
1000	M	7	1.8794	191.68
1000	N	1	38.7626	3953.35
1000	N	2	20.7403	2115.28
1000	N	3	24.9661	2546.26
1000	N	4	17.515	1786.33
1000	N	5	5.8808	599.78
1000	N	6	3.1591	322.19
1000	N	7	0.7175	73.18
1000	O	1	26.4651	2699.14
1000	O	2	18.0874	1844.71
1000	O	3	17.7438	1809.67
1000	O	4	11.1079	1132.88
1000	O	5	7.4316	757.94
1000	O	6	5.0001	509.95
1000	O	7	2.3825	242.99
1000	P	1	12.0464	1228.60
1000	P	2	23.2469	2370.92
1000	P	3	14.0062	1428.48
1000	P	4	11.0893	1130.98
1000	P	5	5.1161	521.79
1000	P	6	1.8149	185.1
1000	P	7	0.6974	71.13
1000	Q	1	21.5974	2202.69
1000	Q	2	30.0816	3067.99
1000	Q	3	31.8883	3252.25
1000	Q	4	18.2874	1865.11
1000	Q	5	9.1645	934.68
1000	Q	6	6.6647	679.72
1000	Q	7	1.0388	105.95
1000	R	1	37.4063	3815.02
1000	R	2	44.2771	4515.77
1000	R	3	16.4503	1677.75
1000	R	4	15.9114	1622.78
1000	R	5	13.1414	1340.28
1000	R	6	6.4046	653.2
1000	R	7	4.7869	488.21
1000	S	1	22.4071	2285.27
1000	S	2	18.7332	1910.58
1000	S	3	17.6443	1799.52
1000	S	4	8.6318	880.35
1000	S	5	9.1714	935.38
1000	S	6	4.5322	462.23
1000	S	7	2.2006	224.44
1000	T	1	11.6443	1187.59
1000	T	2	15.5107	1581.92
1000	T	3	27.9048	2845.98
1000	T	4	27.7137	2826.49
1000	T	5	15.7437	1605.68
1000	T	6	7.7831	793.79
1000	T	7	3.3952	346.27
1000	U	1	12.1573	1239.91
1000	U	2	13.3045	1356.91
1000	U	3	23.0749	2353.38
1000	U	4	10.0694	1026.97
1000	U	5	4.7376	483.18
1000	U	6	2.9936	305.31
1000	U	7	2.1833	222.67
1000	V	1	19.5555	1994.44
1000	V	2	43.1757	4403.44
1000	V	3	53.8349	5490.56
1000	V	4	18.7716	1914.49
1000	V	5	7.1807	732.35
1000	V	6	4.7924	488.77
1000	V	7	1.5745	160.58
1000	AA	1	12.8853	1314.16
1000	AA	2	17.0688	1740.83
1000	AA	3	18.6084	1897.85
1000	AA	4	10.4556	1066.35
1000	AA	5	6.2673	639.19
1000	AA	6	2.9506	300.93
1000	AA	7	1.5466	157.74
1000	BB	1	26.3956	2692.06
1000	BB	2	24.7034	2519.47
1000	BB	3	21.2598	2168.26
1000	BB	4	20.4927	2090.03
1000	BB	5	9.0633	924.35
1000	BB	6	4.1654	424.82
1000	BB	7	2.2369	228.14
1000	CC	1	19.5733	1996.26
1000	CC	2	25.6046	2611.38
1000	CC	3	19.9249	2032.12
1000	CC	4	27.0927	2763.15
1000	CC	5	13.1706	1343.25
1000	CC	6	4.0109	409.07
1000	CC	7	2.3571	240.4
1000	DD	1	9.987	1018.56
1000	DD	2	22.8178	2327.16
1000	DD	3	15.1389	1544.00
1000	DD	4	26.0264	2654.40
1000	DD	5	14.5212	1481.00
1000	DD	6	3.5496	362.02
1000	DD	7	3.0236	308.37
1000	EE	1	18.5013	1886.93
1000	EE	2	15.834	1614.89
1000	EE	3	23.4471	2391.34
1000	EE	4	14.8657	1516.13
1000	EE	5	9.2069	939
1000	EE	6	6.0201	613.98
1000	EE	7	5.2383	534.25
1000	FF	1	8.418	858.54
1000	FF	2	14.544	1483.32
1000	FF	3	21.7286	2216.07
1000	FF	4	21.0859	2150.53
1000	FF	5	12.1022	1234.29
1000	FF	6	3.7297	380.39
1000	FF	7	2.9454	300.4
1000	GG	1	35.8609	3657.41
1000	GG	2	45.4278	4633.13
1000	GG	3	31.8549	3248.84
1000	GG	4	18.1288	1848.93
1000	GG	5	17.0975	1743.75
1000	GG	6	1.6123	164.44
1000	GG	7	0.6917	70.55
1000	HH	1	80.7228	8232.82
1000	HH	2	39.179	3995.82
1000	HH	3	21.3567	2178.14
1000	HH	4	18.75	1912.29
1000	HH	5	17.5223	1787.08
1000	HH	6	2.8141	287.01
1000	HH	7	0.4605	46.97
1000	II	1	37.0962	3783.40
1000	II	2	31.3538	3197.74
1000	II	3	21.1616	2158.25
1000	II	4	18.5361	1890.47
1000	II	5	10.5345	1074.40
1000	II	6	3.1763	323.95
1000	II	7	0.4725	48.19
1000	JJ	1	15.0275	1532.64
1000	JJ	2	11.0279	1124.72
1000	JJ	3	14.5591	1484.86
1000	JJ	4	7.388	753.49
